Name,Age,Race,Gender,Occupation,Crime,Method,Death,Coordinates,County,Source1,Source2,Source3,,,
John Bailey ,25,White,Male,Farm Hand,Murder-Robbery,Hanging,July 26 1912,POINT (35.6031362 -088.1102917),Decatur,"The Columbia herald. [volume] (Columbia, Tenn.) 18??-1935, March 08, 1912, Page 4, Image 4 - Chronicling America - The Library of Congress (loc.gov)",https://chroniclingamerica.loc.gov/lccn/sn89058216/1912-08-01/ed-1/seq-8/ocr/ ,https://chroniclingamerica.loc.gov/lccn/sn86064259/1912-08-02/ed-1/seq-1/ocr/ ,,,
John Mitchell,?,Black,Male,?,Murder,Hanging,Aug 8 1906,POINT (36.0541960 -089.3983058),Dyer,https://chroniclingamerica.loc.gov/lccn/sn85038709/1905-02-10/ed-1/seq-8/ocr/,https://chroniclingamerica.loc.gov/lccn/sn98066406/1905-02-10/ed-1/seq-7/ocr/ ,https://archives.albany.edu/espy/catalog/10032 ,,,
Julius Morgan ,?,Black,Male,?,Rape,Electrocution,July 13 1916,POINT (36.0541960 -089.3983058),Dyer,https://chroniclingamerica.loc.gov/lccn/sn89058253/1916-07-21/ed-1/seq-2/ocr/,https://chroniclingamerica.loc.gov/lccn/sn85042757/1916-07-12/ed-1/seq-1/ocr/ ,https://chroniclingamerica.loc.gov/lccn/sn89058168/1916-04-07/ed-1/seq-4/ocr/,,,
William Nelson ,44,White,Male,Tenant Farmer,Murder,Electrocution,Sept 4 1940,POINT (36.0541960 -089.3983058),Dyer,https://archives.albany.edu/espy/catalog/10171 ,https://chroniclingamerica.loc.gov/lccn/sn97065075/1905-09-15/ed-1/seq-7/ocr/,https://www.findagrave.com/memorial/152653401/william-henry-nelson ,,,
Charles Wirt ,?,Black,Male,?,Murder,Hanging,July 13 1889,POINT (35.1969933 -089.4138027),Fayette,https://archives.albany.edu/espy/catalog/10453,https://chroniclingamerica.loc.gov/data/batches/tu_gordon_ver01/data/sn89058248/00296020424/1889071801/0780.pdf,https://www.findagrave.com/memorial/162796549/charles-wirt ,,,
William Whitlock ,?,Black,Male,?,Murder,Hanging,Aug 13 1896,POINT (35.1969933 -089.4138027),Fayette,https://archives.albany.edu/espy/catalog/10441 ,https://www.proquest.com/historical-newspapers/whitlock-will-hang/docview/929168852/se-2?accountid=33208,https://www.proquest.com/historical-newspapers/hanged-his-crime/docview/952733530/se-2?accountid=33208,,,
Sid Dunlap ,?,Black,Male,Ex Convict,Murder-Robbery,Hanging,Sept 4 1912,POINT (35.1969933 -089.4138027),Fayette,"Carroll County democrat. (Huntingdon, Tenn.) 188?-1971, May 03, 1912, Image 7 - Chronicling America - The Library of Congress (loc.gov)",DENIES HE MURDERED MISS MARY EWELL: Negro Captured Near Humboldt Establishes Claim He Is Not Sid Dunlap - ProQuest Historical Newspapers: The Nashville Tennessean - ProQuest,https://www.proquest.com/historical-newspapers/alleged-slayer-miss-mary-ewell-lagrange-caught/docview/906475921/se-2?accountid=33208,,,
Henry Kelley ,?,Black,Male,Slave,Murder,Hanging,Apr 4 1843,POINT (35.9916316 -088.9338117),Gibson,https://archives.albany.edu/espy/catalog/9872,,,,,
Tom Kinnon,?,Black,Male,?,Rape,Hanging,Jan 13 1912,POINT (35.9916316 -088.9338117),Gibson,https://chroniclingamerica.loc.gov/lccn/sn89058250/1912-01-11/ed-1/seq-2/ocr/,https://archives.albany.edu/espy/catalog/9995,https://hdl.handle.net/2027/heb90036.0001.001,,,
Joe Clark ,?,Black,Male,?,Murder,Hanging,June 5 1885,POINT (35.2187853 -088.9886970),Hardeman,https://chroniclingamerica.loc.gov/lccn/sn85033306/1885-05-08/ed-1/seq-2/ocr/,https://chroniclingamerica.loc.gov/lccn/sn83045160/1885-05-29/ed-1/seq-2/ocr/,https://chroniclingamerica.loc.gov/lccn/sn85033306/1885-06-05/ed-1/seq-3/ocr/,,,
Love Bond ,?,Black,Male,?,Murder,Hanging,Nov 9 1910,POINT (35.2187853 -088.9886970),Hardeman,https://chroniclingamerica.loc.gov/lccn/sn86069395/1910-09-13/ed-1/seq-1/ocr/,https://archives.albany.edu/espy/catalog/9350,https://chroniclingamerica.loc.gov/data/batches/tu_james_ver01/data/sn89058128/00415621899/1910111001/0194.pdf,,,
Carey Gunn ,21,Black,Male,?,Rape,Electrocution,Mar 14 1930,POINT (35.2187853 -088.9886970),Hardeman,https://archives.albany.edu/espy/catalog/9855,https://www.proquest.com/historical-newspapers/march-15-1930-page-18/docview/1898786868/se-2?accountid=33208,https://www.proquest.com/historical-newspapers/march-14-1930-page-1-28/docview/1898788847/se-2?accountid=33208,,,
Chesley Graham ,?,Black,Male,?,Murder-Robbery,Electrocution,Aug 19 1921,POINT (35.2018926 -088.1856958),Hardin,https://archives.albany.edu/espy/catalog/9850,https://chroniclingamerica.loc.gov/data/batches/tu_gus_ver02/data/sn89058168/00415621978/1920043001/0313.pdf,https://chroniclingamerica.loc.gov/data/batches/tu_dinah_ver01/data/sn98069867/0041562170A/1920050301/0517.pdf,,,
Will Allen,?,Black,Male,?,Murder-Robbery,Electrocution,Aug 19 1921,POINT (35.2018926 -088.1856958),Hardin,https://chroniclingamerica.loc.gov/lccn/sn98069867/1920-05-04/ed-1/seq-1/ocr/,Espy Project Execution Records (albany.edu),https://chroniclingamerica.loc.gov/data/batches/tu_gus_ver02/data/sn89058168/00415621978/1920043001/0313.pdf ,,,
Unknown,?,Black,Male,Slave,Murder,Hanging,Dec 22 1843,POINT (35.5866782 -089.2826913),Haywood,https://archives.albany.edu/espy/catalog/10483,https://www.proquest.com/historical-newspapers/october-15-1985-page-2-57/docview/1908729154/se-2?accountid=33208,,,,
Unknown,?,Black,Male,Slave,Murder,Hanging,Dec 22 1843,POINT (35.5866782 -089.2826913),Haywood,https://archives.albany.edu/espy/catalog/10483,https://www.proquest.com/historical-newspapers/october-15-1985-page-2-57/docview/1908729154/se-2?accountid=33208,,,,
Unknown,?,Black,Male,Slave,Murder,Hanging,Dec 22 1843,POINT (35.5866782 -089.2826913),Haywood,https://archives.albany.edu/espy/catalog/10483,https://www.proquest.com/historical-newspapers/october-15-1985-page-2-57/docview/1908729154/se-2?accountid=33208,,,,
Unknown,?,Black,Male,Slave,Murder,Hanging,Dec 22 1843,POINT (35.5866782 -089.2826913),Haywood,https://archives.albany.edu/espy/catalog/10483,https://www.proquest.com/historical-newspapers/october-15-1985-page-2-57/docview/1908729154/se-2?accountid=33208,,,,
Unknown,?,Black,Male,Slave,Murder,Hanging,May ? 1847,POINT (36.3252950 -088.3002878),Henry, , ,,,,
Skelt (Greer),?,Black,Male,Slave,Murder,Hanging,Apr 15 1846,POINT (36.3252950 -088.3002878),Henry,Espy Project Execution Records (albany.edu),,,,,
Gilbert (Forrest),?,Black,Male,Slave,Murder,Hanging,? ? 1847,POINT (36.3252950 -088.3002878),Henry,Espy Project Execution Records (albany.edu),,,,,
Shin Forrest,?,White,Male,?,Murder,Hanging,July 11 1884,POINT (36.3252950 -088.3002878),Henry,Espy Project Execution Records (albany.edu),https://case-law.vlex.com/vid/forrest-v-state-894350835 ,https://chroniclingamerica.loc.gov/data/batches/tu_charlie_ver01/data/sn83045160/00280779970/1884071201/0039.pdf,,,
Henderson House,?,Black,Male,?,Murder,Hanging,Sept 19 1900,POINT (35.7629507 -089.6277318),Lauderdale,https://archives.albany.edu/espy/catalog/9879,https://hdl.handle.net/2027/fulcrum.mc87pr32f,https://hdl.handle.net/2027/fulcrum.5t34sk83x,,,
Thomas Jamison,?,White,Male,?,Murder,Hanging,May 4 1827,POINT (35.6060563 -088.8334238),Madison,Espy Project Execution Records (albany.edu),https://www.proquest.com/historical-newspapers/october-20-1985-page-12-456/docview/1908758851/se-2?accountid=33208,,,,
Randal,?,Black,Male,Slave,Murder,Hanging,May 4 1827,POINT (35.6060563 -088.8334238),Madison,https://archives.albany.edu/espy/catalog/9978 (Recorded as an accomplice),https://www.proquest.com/historical-newspapers/october-20-1985-page-12-456/docview/1908758851/se-2?accountid=33208,,,,
Milton Reilly,?,White,Male,?,Murder,Hanging,June 9 1839,POINT (35.6060563 -088.8334238),Madison,Espy Project Execution Records (albany.edu),https://www.proquest.com/historical-newspapers/hanged/docview/939384550/se-2?accountid=33208,,,,
Milton Mclean,?,?,Male,?,Murder,Hanging,Jan 7 1876,POINT (35.6060563 -088.8334238),Madison,Espy Project Execution Records (albany.edu),https://chroniclingamerica.loc.gov/data/batches/tu_arthur_ver01/data/sn95068565/00280779167/1875121601/0204.pdf,https://chroniclingamerica.loc.gov/data/batches/tu_brownie_ver01/data/sn85033673/00280779441/1876011001/0030.pdf,,,
Millard Wilson,?,Black,Male,?,Murder,Hanging,July 18 1877,POINT (35.6060563 -088.8334238),Madison,Espy Project Execution Records (albany.edu),https://chroniclingamerica.loc.gov/data/batches/tu_brownie_ver01/data/sn85033673/00280779453/1877071601/0665.pdf,https://www.findagrave.com/memorial/138930150/millard-fillmore-wilson,,,
Ed Long,?,Black,Male,?,Murder,Hanging,Dec 18 1880,POINT (35.6060563 -088.8334238),Madison,https://chroniclingamerica.loc.gov/data/batches/tu_jimmy_ver02/data/sn85033437/00296021039/1880121901/0607.pdf,https://www.proquest.com/historical-newspapers/jackson/docview/949886063/se-2?accountid=33208,,,,
Ben Springfield,?,Black,Male,?,Murder,Hanging,July 28 1904,POINT (35.6060563 -088.8334238),Madison,Espy Project Execution Records (albany.edu),https://chroniclingamerica.loc.gov/data/batches/tu_dottie_ver01/data/sn89058007/00212470144/1903091801/0579.pdf,,,,
Brice Mcdonald,?,Black,Male,?,Murder,Hanging,Oct 3 1910,POINT (35.6060563 -088.8334238),Madison,Espy Project Execution Records (albany.edu),https://chroniclingamerica.loc.gov/data/batches/tu_louie_ver01/data/sn96091104/00415621553/1910070801/0960.pdf,,,,
Austin Harris,?,Black,Male,?,Murder,Electrocution,Aug 15 1922,POINT (35.6060563 -088.8334238),Madison,Espy Project Execution Records (albany.edu),https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories,,,,
Willie Lee Porter,21,Black,Male,Ex Reformatory,Murder-Burglary,Electrocution,July 28 1941,POINT (35.6060563 -088.8334238),Madison,Espy Project Execution Records (albany.edu),https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories,,,,
Carl Cole,19,Black,Male,Plant Worker,Murder-Burglary,Electrocution,July 28 1941,POINT (35.6060563 -088.8334238),Madison,Espy Project Execution Records (albany.edu),https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories,,,,
Thomas Condor,45,White,Male,?,Murder,Hanging,July 13 1889,POINT (36.3579958 -089.1500236),Obion,"The Bolivar bulletin. (Bolivar, Tenn.) 1888-1946, March 29, 1889, Image 1 - Chronicling America - The Library of Congress (loc.gov)",https://hdl.handle.net/2027/heb90036.0001.001,https://chroniclingamerica.loc.gov/lccn/sn89058007/1889-05-31/ed-1/seq-1/ocr/,,,
Frank Scott,?,Black,Male,?,Murder,Hanging,Jan 7 1876,POINT (35.1837942 -089.8953970),Shelby,Espy Project Execution Records (albany.edu),https://chroniclingamerica.loc.gov/data/batches/tu_isaac_ver01/data/sn86053488/00212470016/1876011301/0387.pdf,https://chroniclingamerica.loc.gov/data/batches/tu_brownie_ver01/data/sn85033673/00280779441/1876010701/0022.pdf,,,
Bill Williams,?,Black,Male,?,Murder,Hanging,Jan 7 1876,POINT (35.1837942 -089.8953970),Shelby,Espy Project Execution Records (albany.edu),https://chroniclingamerica.loc.gov/data/batches/tu_isaac_ver01/data/sn86053488/00212470016/1876011301/0387.pdf,William Williams (unknown-1876) - Find a Grave Memorial ,,,
 Sandy Matthews,?,Black,Male,?,Murder,Hanging,June 6 1882,POINT (35.1837942 -089.8953970),Shelby,Espy Project Execution Records (albany.edu),https://chroniclingamerica.loc.gov/data/batches/tu_brownie_ver01/data/sn85033673/00280779507/1882060201/0529.pdf,https://chroniclingamerica.loc.gov/data/batches/tu_brownie_ver01/data/sn85033673/00280779507/1882051101/0453.pdf,,,
Robert Wilson,20,Black,Male,?,Murder,Hanging,July 20 1883,POINT (35.1837942 -089.8953970),Shelby,Espy Project Execution Records (albany.edu),https://chroniclingamerica.loc.gov/data/batches/tu_brownie_ver01/data/sn85033673/00280779519/1883072001/0682.pdf,https://chroniclingamerica.loc.gov/data/batches/tu_gordon_ver01/data/sn97065159/00296020990/1883072801/0438.pdf,,,
John Mckeever,?,Black,Male,?,Murder,Hanging,June 26 1885,POINT (35.1837942 -089.8953970),Shelby,Espy Project Execution Records (albany.edu),https://chroniclingamerica.loc.gov/data/batches/tu_charlie_ver01/data/sn83045160/00280779982/1885012801/0099.pdf,https://chroniclingamerica.loc.gov/data/batches/tu_frank_ver01/data/sn86053488/00296020370/1885021401/0058.pdf,,,
Thomas Jefferson,?,Black,Male,?,Murder,Hanging,July 13 1889,POINT (35.1837942 -089.8953970),Shelby,Espy Project Execution Records (albany.edu),https://chroniclingamerica.loc.gov/data/batches/tu_gordon_ver01/data/sn89058248/00296020424/1889071801/0780.pdf,https://chroniclingamerica.loc.gov/data/batches/tu_kay_ver01/data/sn88061070/00296020643/1888102401/0084.pdf,,,
Parker Harris,31,Black,Male,?,Murder,Hanging,June 24 1890,POINT (35.1837942 -089.8953970),Shelby,Espy Project Execution Records (albany.edu),https://chroniclingamerica.loc.gov/data/batches/tu_frank_ver01/data/sn89058013/0029602031A/1890052301/0023.pdf,https://chroniclingamerica.loc.gov/data/batches/tu_frank_ver01/data/sn89058013/0029602031A/1890062701/0043.pdf,,,
Ed Carr,28,Black,Male,?,Murder,Hanging,June 24 1890,POINT (35.1837942 -089.8953970),Shelby,Espy Project Execution Records (albany.edu),https://chroniclingamerica.loc.gov/data/batches/tu_kay_ver01/data/sn88061072/00296020643/1890062501/0708.pdf,https://chroniclingamerica.loc.gov/data/batches/tu_frank_ver01/data/sn89058013/0029602031A/1890062701/0043.pdf,,,
Hardy Ballard,45,Black,Male,?,Murder,Hanging,June 24 1890,POINT (35.1837942 -089.8953970),Shelby,Espy Project Execution Records (albany.edu),https://chroniclingamerica.loc.gov/data/batches/tu_ida_ver01/data/sn89058013/00296020333/1899012001/0014.pdf,https://chroniclingamerica.loc.gov/data/batches/tu_ida_ver01/data/sn89058013/00296020333/1899080401/0120.pdf,,,
Frank Brenish,36,White,Male,?,Murder,Hanging,June 24 1890,POINT (35.1837942 -089.8953970),Shelby,Espy Project Execution Records (albany.edu),https://chroniclingamerica.loc.gov/data/batches/tu_hubert_ver01/data/sn89058128/00296021131/1890062601/0103.pdf,https://chroniclingamerica.loc.gov/data/batches/tu_frank_ver01/data/sn89058013/0029602031A/1890062701/0043.pdf,,,
Harry Bennett,?,Black,Male,?,Murder,Hanging,July 24 1809,POINT (35.1837942 -089.8953970),Shelby,Espy Project Execution Records (albany.edu),,,,,
Henry De Berry,?,Black,Male,?,Attempted Rape,Hanging,Aug 19 1897,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/9587,https://hdl.handle.net/2027/heb90036.0001.001  ,https://chroniclingamerica.loc.gov/data/batches/tu_frank_ver01/data/sn96091104/00296020837/1897082701/0586.pdf,,,
Nathan Carruthers,?,Black,Male,?,Murder-Robbery,Hanging,Aug 6 1901,POINT (35.1837942 -089.8953970),Shelby,Espy Project Execution Records (albany.edu),https://chroniclingamerica.loc.gov/data/batches/tu_jimmy_ver02/data/sn96091104/00296020849/1901051701/1000.pdf,https://chroniclingamerica.loc.gov/data/batches/khi_lawrence_ver01/data/sn84029386/00295871489/1900081601/1021.pdf,,,
Dan Farley,?,Black,Male,?,Murder,Hanging,July 30 1902,POINT (35.1837942 -089.8953970),Shelby,Espy Project Execution Records (albany.edu),https://chroniclingamerica.loc.gov/data/batches/tu_eddie_ver02/data/sn89058318/00415622065/1904042801/0112.pdf,,,,
Toots Taylor,?,Black,Male,Bootblack,Murder,Hanging,July 18 1905,POINT (35.1837942 -089.8953970),Shelby,Espy Project Execution Records (albany.edu,https://chroniclingamerica.loc.gov/data/batches/tu_james_ver01/data/sn89058321/00415621413/1905072101/0934.pdf,https://dpic-cdn.org/production/documents/pdf/DPIC-Tenessee-Report-Doomed-to-Repeat_2023-06-23-134404_zsfd.pdf,,,
A. M. Miles,?,Black,Male,?,Murder,Hanging,July 18 1905,POINT (35.1837942 -089.8953970),Shelby,Espy Project Execution Records (albany.edu),https://chroniclingamerica.loc.gov/data/batches/tu_james_ver01/data/sn89058321/00415621413/1905072101/0934.pdf,https://dpic-cdn.org/production/documents/pdf/DPIC-Tenessee-Report-Doomed-to-Repeat_2023-06-23-134404_zsfd.pdf,,,
Major Mills,?,Black,Male,?,Murder,Hanging,July 18 1905,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/10031 ,https://chroniclingamerica.loc.gov/data/batches/tu_james_ver01/data/sn89058321/00415621413/1905072101/0934.pdf,https://dpic-cdn.org/production/documents/pdf/DPIC-Tenessee-Report-Doomed-to-Repeat_2023-06-23-134404_zsfd.pdf,,,
General Bone,?,Black,Male,Farm Hand,Murder-Rape,Hanging,Aug 18 1905,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/9553 ,https://chroniclingamerica.loc.gov/data/batches/tu_james_ver01/data/sn89058321/00415621413/1905072101/0934.pdf,https://chroniclingamerica.loc.gov/data/batches/gu_ara_ver01/data/sn89053204/00393344313/1905081905/0149.pdf,,,
John Champion,?,Black,Male,Saloon Porter,Murder,Hanging,Aug 18 1905,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/9565 ,https://chroniclingamerica.loc.gov/data/batches/tu_james_ver01/data/sn89058321/00415621413/1905072101/0934.pdf,https://chroniclingamerica.loc.gov/data/batches/kyu_meatloaf_ver01/data/sn85052116/0010048190A/1905071901/0128.pdf,,,
James Norfleet,?,Black,Male,?,Murder,Hanging,Aug 18 1905,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/10172,https://chroniclingamerica.loc.gov/data/batches/tu_james_ver01/data/sn89058321/00415621413/1905072101/0934.pdf,https://chroniclingamerica.loc.gov/data/batches/kyu_meatloaf_ver01/data/sn85052116/0010048190A/1905071901/0128.pdf,,,
Moses Walds,?,Black,Male,Sawmill Worker,Murder,Hanging,Oct 31 1907,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/10432,https://chroniclingamerica.loc.gov/data/batches/tu_hubert_ver01/data/sn89058128/00296021167/1908030501/0666.pdf,https://chroniclingamerica.loc.gov/data/batches/txdn_dewitt_ver01/data/sn86090369/00279520749/1907110101/1055.pdf,,,
Henry Johnson,?,Black,Male,?,Rape,Hanging,Aug 8 1908,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/9982,https://hdl.handle.net/2027/fulcrum.gt54kp229,https://hdl.handle.net/2027/heb90036.0001.001,,,
John Casson,?,Black,Male,?,Murder-Robbery,Hanging,Nov 9 1910,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/9570 ,https://chroniclingamerica.loc.gov/data/batches/tu_james_ver01/data/sn89058128/00415621899/1910111001/0194.pdf,https://chroniclingamerica.loc.gov/data/batches/kyu_joplin_ver01/data/sn86069395/00175045545/1910091301/0918.pdf,,,
Moses Cook,?,White,Male,?,Murder,Hanging,Nov 9 1910,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/9577,https://chroniclingamerica.loc.gov/data/batches/tu_james_ver01/data/sn89058128/00415621899/1910111001/0194.pdf,https://chroniclingamerica.loc.gov/data/batches/kyu_joplin_ver01/data/sn86069395/00175045545/1910091301/0918.pdf,,,
Leo Temples,17,Black,Male,Farm Hand,Rape,Hanging,Dec 19 1912,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/10415,https://hdl.handle.net/2027/heb90036.0001.001 ,https://chroniclingamerica.loc.gov/data/batches/tu_ernie_ver01/data/sn86064259/00296020588/1912111501/0804.pdf,,,
Lorenzo Young,?,Black,Male,?,Murder,Electrocution,Sept 3 1920,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/10457,https://chroniclingamerica.loc.gov/lccn/sn98069867/1920-08-05/ed-1/seq-7/ocr/ ,https://chroniclingamerica.loc.gov/lccn/sn99065839/1920-10-01/ed-1/seq-2/ocr/ ,,,
 Hamp Goshton,?,Black,Male,?,Murder,Electrocution,Aug 17 1921,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/9847,https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories,0257.pdf (loc.gov),,,
Charles Barr,26,Black,Male,Domestic Servant,Murder-Robbery,Electrocution,Aug 20 1926,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/8967 ,https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories,"December 3, 1924 (Page 4 of 14) - ProQuest Historical Newspapers: The Nashville Tennessean - ProQuest",,,
John Webb,?,Black,Male,?,Rape,Electrocution,May 20 1927,POINT (35.1837942 -089.8953970),Shelby,https://hdl.handle.net/2027/heb90036.0001.001 ,https://archives.albany.edu/espy/catalog/10435,https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories,,,
Willie Jones,24,Black,Male,?,Murder,Electrocution,Oct 30 1933,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/9987,https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories,https://chroniclingamerica.loc.gov/data/batches/msar_hematite_ver01/data/sn87065408/00383344645/1933051901/0080.pdf,,,
Percy Smith,?,Black,Male,?,Rape,Electrocution,Apr 4 1934,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/9851 ,https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories ,https://chroniclingamerica.loc.gov/data/batches/in_ingersoll_ver01/data/sn82015313/00383349606/1934040401/0259.pdf,,,
Jasper Graham,?,Black,Male,?,Rape,Electrocution,Apr 4 1934,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/9851,https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories ,https://chroniclingamerica.loc.gov/data/batches/msar_hematite_ver01/data/sn87065408/00383344645/1933051901/0080.pdf,,,
Frank Mays,?,Black,Male,?,Rape,Electrocution,Apr 4 1934,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/9851 ,https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories ,https://chroniclingamerica.loc.gov/data/batches/msar_hematite_ver01/data/sn87065408/00383344645/1933051901/0080.pdf,,,
John Deal,31,Black,Male,Domestic Servant,Murder-Robbery,Electrocution,Sept 15 1934,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/9586,https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories,https://www.proquest.com/historical-newspapers/september-15-1934-page-1-16/docview/1899017234/se-2?accountid=33208,,,
James Pillow,?,Black,Male,?,Murder,Electrocution,Sept 15 1934,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/10188,https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories,https://www.proquest.com/historical-newspapers/september-15-1934-page-1-16/docview/1899017234/se-2?accountid=33208,,,
James Clark,23,Black,Male,?,Murder-Burglary,Electrocution,Aug 14 1936,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/9571,https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories,,,,
James Turner,25,Black,Male,?,Murder,Electrocution,? 5 1937,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/10425,https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories,https://www.proquest.com/historical-newspapers/march-5-1937-page-2-30/docview/1899127844/se-2?accountid=33208,,,
Roy Eatmon,24,White,Male,?,Murder-Robbery,Electrocution,Apr 16 1937,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/9824,https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories,https://www.proquest.com/historical-newspapers/march-13-1937-page-14/docview/1899128004/se-2?accountid=33208,,,
Gus Mckinney,19,Black,Male,?,Murder-Robbery,Electrocution,Apr 15 1938,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/10026,,,,,
Arthur Mosby,?,Black,Male,?,Murder,Electrocution,July 25 1938,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/10163,https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories,https://www.proquest.com/historical-newspapers/july-25-1938-page-3-14/docview/1899169434/se-2?accountid=33208,,,
Willie Smith,?,Black,Male,?,Consp To Murder,Electrocution,Apr 10 1939,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/10476 ,https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories,,,,
Joseph Mckay,?,Black,Male,Plant Worker,Consp To Murder,Electrocution,Apr 10 1939,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/10476,https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories,,,,
James Martin,43,White,Male,Gas Station Own,Consp To Murder,Electrocution,Apr 10 1939,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/10475,https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories,,,,
C. C. Mobley,35,Black,Male,?,Rape-Robbery,Electrocution,Mar 15 1940,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/10161,https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories,https://www.proquest.com/historical-newspapers/march-16-1940-page-8-12/docview/1899257452/se-2?accountid=33208,,,
James Goodin,?,Black,Male,?,Murder,Electrocution,Sept 4 1940,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/9849,https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories,https://www.proquest.com/historical-newspapers/september-5-1940-page-20/docview/1899278568/se-2?accountid=33208,,,
Van Gilmore,31,Black,Male,?,Rape-Robbery,Electrocution,Apr 14 1940,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/9845,https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories,https://www.proquest.com/historical-newspapers/april-18-1941-page-12-36/docview/1899317563/se-2?accountid=33208,,,
John Goode,?,Black,Male,?,Murder,Electrocution,Mar 20 1942,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/9848,https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories,https://www.proquest.com/historical-newspapers/january-18-1942-page-40-92/docview/1899338780/se-2?accountid=33208,,,
Robert Cannon,27,Black,Male,?,Murder-Robbery,Electrocution,Mar 30 1943,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/9563,https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories,https://www.findagrave.com/memorial/176184781/robert-george-cannon,,,
Marshall Spigner,40,White,Male,Ex Convict,Murder-Rape-Rob,Electrocution,July 15 1943,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/10297,https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories,https://www.findagrave.com/memorial/73105860/marshall-franklin-spigener,,,
Thomas Walker,33,Black,Male,Laborer,Murder-Robbery,Electrocution,Mar 1 1946,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/10175 ,https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories,https://www.proquest.com/historical-newspapers/february-28-1946-page-13-24/docview/1899451084/se-2?accountid=33208,,,
